Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Under Construction,2408,5784,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment,13900000.000000019
Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Apartment,26799999.99999922
Under Construction,1224,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,7831934.94626468
Ready to move,2050,20800,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment,42599999.99999992
Ready to move,1435,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment,22923708.118975494
Under Construction,1975,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39499999.9999976
Ready to move,3907,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment,147703300.62891352
Under Construction,1650,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,33000000.000001185
Ready to move,3175,18000,4 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,4,Apartment,57000762.99176627
Under Construction,4054,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,75199999.99999589
Ready to move,915,12896,2 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Not approved by RERA,2,Apartment,11749181.030229203
Ready to move,2579,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,27699949.25779055
Ready to move,3732,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,82122434.82763751
Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,36899999.99999862
Ready to move,3310,18006,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,59785689.15946208
Ready to move,1735,7510,3 BHK Apartment in Corona Optus,Sector 37C,Not approved by RERA,3,Apartment,13026988.493963368
Under Construction,2445,16002,3 BHK Apartment in Pyramid Alban,Sector 71,Approved by RERA,3,Apartment,39099999.99999749
Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,74911394.63503419
Ready to move,918,4852,3 BHK Apartment in GLS Avenue 51,Sector 92,Not approved by RERA,3,Apartment,4464048.765961401
Ready to move,1836,10076,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor,18793929.664829437
Ready to move,2441,10241,2 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,2,Apartment,24960896.225481473
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,72099999.99999453
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment,20899999.99999893
Ready to move,1895,9498,3 BHK Apartment in Microtek Greenburg,Sector 86,Not approved by RERA,3,Apartment,18002466.076595135
Ready to move,1310,10000,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Not approved by RERA,2,Apartment,13099919.215069087
Ready to move,2434,27855,4 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,4,Apartment,67698403.71820292
Ready to move,1507,12229,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,18419663.723475806
Ready to move,5163,10900,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,56211916.030102916
Ready to move,699,13450,1 BHK Apartment in M3M Sky Lofts,Sector 71,Not approved by RERA,1,Apartment,9346925.282706505
Ready to move,4500,11666,4 BHK Independent Floor in LUXURY floorsss,DLF CITY PHASE I,Not approved by RERA,4,Floor,52505821.00113991
Under Construction,2080,12019,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Apartment,25000000.000000942
Ready to move,3844,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,84499999.99999678
Ready to move,3600,9500,3 BHK Apartment in Experion Windchants Villa,Sector 112,Not approved by RERA,3,Apartment,34327545.32821591
Ready to move,2720,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment,56499999.99999568
Under Construction,1372,11600,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,15899999.99999878
Under Construction,1424,7400,2 BHK Apartment in M3M Skywalk,Sector 74,Approved by RERA,2,Apartment,10520145.61565056
Under Construction,1967,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39300000.00000115
Ready to move,1359,13466,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Not approved by RERA,3,Apartment,18303884.32973943
Under Construction,1311,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,20377903.42256057
Under Construction,1884,6051,3 BHK Apartment in Ashiana Anmol Phase II,Sector 33 Sohna,Approved by RERA,3,Apartment,11708462.323477538
Under Construction,1993,22077,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,43675538.578214265
Ready to move,4742,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,104289495.49224128
Under Construction,1615,20000,2 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,2,Apartment,32244809.01612669
Under Construction,2282,18000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment,40999999.99999736
Ready to move,2750,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment,57200000.00000078
Ready to move,5575,47202,4 BHK Apartment in DLF The Aralias,Sector 42,Not approved by RERA,4,Apartment,263605027.79552835
Under Construction,1055,12000,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment,12600000.000000417
Ready to move,1828,15590,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,28456187.352670003
Under Construction,2637,6826,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,18000000.000000242
Ready to move,1630,5736,3 BHK Apartment in Ramprastha Rise,Sector 37D,Not approved by RERA,3,Apartment,9565987.485986589
Under Construction,2445,16002,3 BHK Apartment in Pyramid Alban,Sector 71,Approved by RERA,3,Apartment,39099999.99999749
Under Construction,1540,27061,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,41709443.411298
Under Construction,1976,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39499999.9999976
Under Construction,1250,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment,27500000.000000406
Ready to move,6300,11031,5 BHK Apartment in Suncity Township,Sector 54,Not approved by RERA,5,Apartment,69497459.95478654
Ready to move,1850,10810,3 BHK Apartment in Bargainer Modern Premium Floor,Sector 52,Not approved by RERA,3,Apartment,20008769.791920055
Ready to move,1358,17800,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,24127059.444353018
Under Construction,1359,13274,3 BHK Apartment in MRG Crown,Sector 106,Approved by RERA,3,Apartment,18005951.532397956
Ready to move,3452,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,37601345.61360247
Under Construction,968,34746,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,33600000.00000194
Under Construction,2812,21301,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,59732304.995328315
Ready to move,2700,9259,3 BHK Independent Floor in Bargainer Ultra Premium Floors,Sector 51,Not approved by RERA,3,Floor,25000000.000000942
Under Construction,2500,14000,4 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,4,Floor,35050340.50756113
Ready to move,450,28888,1 BHK Independent House,Palam Vihar,Not approved by RERA,1,Plot,16779959.46279895
Under Construction,1731,39514,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,68400000.00000377
Under Construction,4800,15625,5 BHK Apartment,Gwal Pahari,Not approved by RERA,5,Plot,74964405.13728885
Ready to move,3088,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment,117211990.38604122
Ready to move,2262,6500,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment,14660775.454040103
Under Construction,1217,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,7787194.839846851
Ready to move,2710,10468,4 BHK Apartment in Mapsko Mount Ville,Sector 79,Not approved by RERA,4,Apartment,28207118.291808162
Ready to move,1711,20455,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,35000000.000002004
Under Construction,880,3275,3 BHK Apartment in solitaire Affordable 70,Sector 70,Not approved by RERA,3,Apartment,2899791.48867161
Ready to move,475,4500,2 BHK Apartment in Pivotal Riddhi Siddhi,Sector 99,Not approved by RERA,2,Apartment,2087485.3732765254
Ready to move,2352,7350,4 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,4,Apartment,17203910.20857828
Ready to move,1689,12314,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,20834909.803218406
Ready to move,1046,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,21099999.99999849
Ready to move,2268,33069,5 BHK Villa in Anant Raj Manor Villas,Sector 63,Not approved by RERA,5,Villa,89215745.09682514
Under Construction,1503,13274,3 BHK Apartment in MRG Crown,Sector 106,Approved by RERA,3,Apartment,19903320.45092355
Under Construction,1518,12046,3 BHK Apartment in M3M M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment,18200000.000001024
Ready to move,1200,3583,2 BHK Independent Floor,Shivaji Nagar,Not approved by RERA,2,Plot,3712044.0937561747
Ready to move,3600,9500,3 BHK Apartment in Experion Windchants Villa,Sector 112,Not approved by RERA,3,Apartment,34327545.32821591
Under Construction,2161,8900,3 BHK Apartment in M3M Heights,Sector 65,Approved by RERA,3,Apartment,18874166.187516358
Under Construction,1205,10041,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment,12167225.979372086
Under Construction,894,15213,2 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,2,Apartment,13561871.524629608
Ready to move,3799,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,83535877.00155032
Ready to move,2150,17674,3 BHK Independent Floor,Palam Vihar,Not approved by RERA,3,Plot,38036377.77713807
Under Construction,4000,11000,4 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,4,Apartment,44054771.44574198
Ready to move,2963,27864,4 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,4,Apartment,82506707.86462869
Ready to move,2724,4313,4 BHK Apartment in Anant Raj Maceo,Sector 91,Not approved by RERA,4,Apartment,11600244.221197426
Ready to move,2599,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment,52400000.00000227
Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Apartment,26799999.99999922
Ready to move,5000,15000,5 BHK Villa,Kadarpur,Not approved by RERA,5,Plot,75033513.06030568
Ready to move,1692,27871,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment,47019710.96104875
Under Construction,1650,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,33000000.000001185
Ready to move,4518,15493,5 BHK Independent Floor in LUXURY floorsss,DLF City Phase 1,Not approved by RERA,5,Floor,69894300.82070135
Ready to move,2300,11087,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,Not approved by RERA,4,Apartment,25499999.999998122
Ready to move,1811,8448,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,15303369.60024787
Under Construction,1868,20000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,37267813.450736575
Under Construction,3000,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment,67500000.00000204
Under Construction,1002,34665,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,34700000.00000316
Ready to move,990,14545,3 BHK Apartment in Shree Vardhman Olive,Sector 2 Sohna,Not approved by RERA,3,Apartment,14677014.954960302
Ready to move,1986,12356,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Not approved by RERA,3,Apartment,24532221.71255652
Ready to move,915,12896,2 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Not approved by RERA,2,Apartment,11749181.030229203
Ready to move,3240,9845,4 BHK Independent Floor in LUXURY floorses,DLF Phase 4,Not approved by RERA,4,Floor,32291332.9675911
Under Construction,1711,12273,3 BHK Apartment in Sobha City,Sector 108,Approved by RERA,3,Apartment,21000000.000000726
Ready to move,1573,10807,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Not approved by RERA,3,Apartment,17016309.062002018
Ready to move,2086,11395,3 BHK Apartment in DLF The Primus,Sector 82A,Not approved by RERA,3,Apartment,23826380.34162929
Under Construction,3558,21301,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,75647561.74059014
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,36400000.000001304
Under Construction,1967,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,33999999.99999934
Under Construction,1347,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,22199999.9999989
Ready to move,802,4738,2 BHK Apartment in Signature Global Synera,Sector 81,Not approved by RERA,2,Apartment,3624289.327084371
Under Construction,850,3647,2 BHK Apartment,Ashok Vihar Phase II,Not approved by RERA,2,Plot,2905797.3765362133
Ready to move,2300,13043,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Not approved by RERA,4,Floor,29999499.16899017
Under Construction,2510,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment,52699999.99999906
Ready to move,2090,7607,4 BHK Apartment,Sector 92,Not approved by RERA,4,Plot,16359978.664064271
Under Construction,675,3600,2 BHK Apartment in HCBS Sports Ville,Sector 2 Sohna,Approved by RERA,2,Apartment,2472773.9570189305
Ready to move,2056,19941,3 BHK Apartment in Sweta Estates Central Park Phase 1,Atta,Not approved by RERA,3,Apartment,41008484.46078331
Ready to move,2844,11954,4 BHK Independent Floor,Sector 25,Not approved by RERA,4,Plot,34664661.36778966
Ready to move,1353,22404,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment,30714136.049256876
Ready to move,735,18675,2 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Not approved by RERA,2,Apartment,14282523.964612385
Under Construction,2015,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,40799999.999998674
Under Construction,6000,27000,4 BHK Apartment in Tribeca Trump Towers Delhi NCR,Sector 65,Approved by RERA,4,Apartment,161922312.24602592
Under Construction,1310,7252,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Approved by RERA,2,Apartment,9765405.846633645
Ready to move,2165,7621,3 BHK Apartment in Brisk Lumbini Terrace Homes,Sector 109,Not approved by RERA,3,Apartment,16466301.072556576
Ready to move,1930,7772,3 BHK Apartment in DLF The Skycourt,Sector 86,Not approved by RERA,3,Apartment,14990954.471735027
Under Construction,2015,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,40799999.999998674
Under Construction,980,15360,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,Approved by RERA,1,Apartment,14946326.2431189
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment,20899999.99999893
Ready to move,1326,6033,3 BHK Apartment in Tulip White,Sector 69,Not approved by RERA,3,Apartment,8030779.556814131
Ready to move,4680,16559,5 BHK Independent House,PALAM VIHAR,Not approved by RERA,5,Plot,77268886.70850518
Ready to move,2962,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,65097996.95231241
Ready to move,2650,9245,3 BHK Apartment in ATS Marigold,Sector 89A,Not approved by RERA,3,Apartment,24520296.077896766
Ready to move,2050,10682,3 BHK Independent Floor in Luxurious floors,DLF Phase 4,Not approved by RERA,3,Floor,22277773.433743156
Under Construction,921,18566,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,Approved by RERA,1,Apartment,17098062.318531305
Ready to move,2425,8041,4 BHK Apartment in Pareena Express Heights,Sector 99A,Not approved by RERA,4,Apartment,19474855.099593434
Ready to move,4750,22505,4 BHK Villa in Vipul Tatvam Villas,Sector 48,Not approved by RERA,4,Villa,106575393.01258202
Ready to move,5700,12456,5 BHK Apartment in Pioneer araya,Golf Course Extension Road,Not approved by RERA,5,Apartment,70978927.12515025
Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment,15200000.00000079
Ready to move,2880,15625,4 BHK Independent Floor in DLF Phase 1,Sector 26 Gurgaon,Not approved by RERA,4,Floor,44963907.89993188
Ready to move,2598,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,27983236.271313325
Under Construction,1702,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,28000000.000000887
Ready to move,1370,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,27600000.000000726
Ready to move,1962,5351,3 BHK Independent Floor,Sector51 Gurgaon,Not approved by RERA,3,Plot,10767516.93191485
Under Construction,3100,12903,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,39899999.99999777
Under Construction,2400,13563,3 BHK Apartment,Sector 37D,Not approved by RERA,3,Plot,32540179.912908517
Ready to move,2440,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,39000997.45738401
Under Construction,2430,14403,4 BHK Independent Floor,DLF Phase 4,Not approved by RERA,4,Plot,34972566.34483685
Ready to move,2375,15578,3 BHK Apartment in Tata Raisina Residency,Sector 59,Not approved by RERA,3,Apartment,37118331.47872643
Ready to move,2450,8979,4 BHK Independent Floor,Sector 51,Not approved by RERA,4,Plot,21999376.627042677
Under Construction,3577,18000,4 BHK Apartment in DLF Privana,Sector 77,Approved by RERA,4,Apartment,64299999.9999965
Under Construction,1657,20821,4 BHK Apartment in Godrej Meridien Phase III,Sector 106,Approved by RERA,4,Apartment,34379609.439817145
Under Construction,1250,14000,2 BHK Apartment,Sector 89,Not approved by RERA,2,Plot,17488700.22633633
Under Construction,1192,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,7628117.738898529
Ready to move,1692,12411,3 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Not approved by RERA,3,Apartment,21000498.819214676
Under Construction,2035,12000,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment,24397983.508493803
Under Construction,1081,10000,3 BHK Apartment in Signature Global Park 1,Sector 36 Sohna,Approved by RERA,3,Apartment,10857757.523848085
Ready to move,1800,13888,3 BHK Independent Floor in Today Developer 1,DLF Phase 2,Not approved by RERA,3,Floor,25002964.74160946
Ready to move,1657,20800,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment,34399999.99999853
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment,28300996.500536226
Ready to move,1755,8547,3 BHK Apartment in Vatika Lifestyle Homes,Sector 83,Not approved by RERA,3,Apartment,14999999.999999156
Under Construction,2781,11000,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,3,Apartment,31017873.91287686
Under Construction,2290,16500,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,37699495.36027549
Under Construction,2440,18000,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment,43900000.00000265
Ready to move,4510,10753,4 BHK Independent Floor,Sector 56,Not approved by RERA,4,Plot,48985131.074468605
Under Construction,1806,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,36600000.00000015
Under Construction,1000,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment,21981540.852513053
Under Construction,2250,28624,3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,Approved by RERA,3,Apartment,64331127.124751754
Ready to move,1800,5833,3 BHK Apartment in Ashley Whitehousz Floors 2,Sector 57,Not approved by RERA,3,Apartment,10620008.625394808
Ready to move,3045,18062,4 BHK Villa in Vatika Signature Villas,Sector 82,Not approved by RERA,4,Villa,56092043.611805275
Ready to move,1600,9250,3 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,3,Apartment,14794303.642849654
Ready to move,1227,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment,25486847.403048974
Ready to move,900,6666,3 BHK Apartment in GLS Avenue 51,Sector 92,Not approved by RERA,3,Apartment,5999999.999999596
Ready to move,2650,5924,4 BHK Apartment in Mapsko Mount Ville,Sector 79,Not approved by RERA,4,Apartment,15346692.601096654
Ready to move,1550,12580,2 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,2,Apartment,19498280.061812907
Under Construction,1605,14300,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,22879228.364215467
Ready to move,2295,20479,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment,47030214.212802954
Ready to move,1990,22110,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,43999999.99999593
Ready to move,1000,3400,3 BHK Apartment,Sector 105,Not approved by RERA,3,Plot,3420331.1939776083
Ready to move,1450,13931,2 BHK Apartment in Ambience Lagoon,Sector 24,Not approved by RERA,2,Apartment,20060230.22280659
Under Construction,1331,13617,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,18634007.729559295
Ready to move,2150,8139,3 BHK Independent Floor,Sector 63,Not approved by RERA,3,Plot,17668090.498318106
Ready to move,2145,16969,4 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,4,Apartment,36428907.74878698
Ready to move,2180,12514,4 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Not approved by RERA,4,Apartment,27207850.023613304
Ready to move,2900,5517,4 BHK Independent Floor in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,4,Floor,16060673.853295352
Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,36899999.99999862
Ready to move,1828,22101,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,40400000.00000059
Ready to move,3449,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,37525818.28582891
Ready to move,2600,10000,4 BHK Independent Floor in HUDA Plot Sector 57,Sector 57,Not approved by RERA,4,Floor,25986859.953029554
Ready to move,6521,23710,4 BHK Independent Floor in B kumar and brothers the passion group,DLF Phase 4,Not approved by RERA,4,Floor,152234015.788099
Ready to move,4518,9960,4 BHK Independent Floor,DLF CITY PHASE I,Not approved by RERA,4,Plot,45080910.67515134
Ready to move,1385,12356,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Not approved by RERA,2,Apartment,16836513.81298452
Under Construction,1109,34625,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,38399999.99999852
Ready to move,950,7894,2 BHK Apartment in Mahindra Aura,Sector 110A,Not approved by RERA,2,Apartment,8027355.880635352
Under Construction,1518,12046,3 BHK Apartment in M3M M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment,18200000.000001024
Ready to move,2060,4854,3 BHK Independent Floor,Sector 23 Gurgaon,Not approved by RERA,3,Plot,9986323.738797914
Under Construction,1702,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,28000000.000000887
Under Construction,2795,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,51797487.91706614
Ready to move,1423,15933,3 BHK Apartment in Smart Smart World Gems,Sector 89,Not approved by RERA,3,Apartment,22600000.00000156
Ready to move,3844,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,57594781.21619932
Ready to move,2864,21500,4 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,4,Apartment,61417741.10466483
Under Construction,2150,26046,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment,56148189.79511477
Under Construction,2300,17500,3 BHK Apartment in Puri The Aravallis,Sector 61,Approved by RERA,3,Apartment,40199999.999999866
Under Construction,2305,20000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment,46108552.95190718
Ready to move,2686,37978,3 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,3,Apartment,101994734.59933068
Under Construction,1850,26486,3 BHK Independent Floor in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Floor,49046086.61223143
Ready to move,1430,20979,3 BHK Apartment in DLF Wellington Estate,Sector 53,Not approved by RERA,3,Apartment,29917323.419638317
Under Construction,621,4005,2 BHK Apartment in MRG The Meridian,Sector 89,Approved by RERA,2,Apartment,2503962.4674245147
Ready to move,1953,8448,3 BHK Apartment in Raheja Atharva,Sector 109,Not approved by RERA,3,Apartment,16573710.05234305
Ready to move,1500,7850,2 BHK Apartment in Silverglades The Melia,Sector 35 Sohna,Not approved by RERA,2,Apartment,11712187.975967206
Under Construction,2100,11500,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,24232896.64766703
Ready to move,3500,12714,4 BHK Independent Floor,DLF Phase 4,Not approved by RERA,4,Plot,44529199.88952595
Under Construction,1081,10000,3 BHK Apartment in Signature Global Park 1,Sector 36 Sohna,Approved by RERA,3,Apartment,10857757.523848085
Ready to move,2675,7444,4 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,4,Apartment,19900000.000001214
Under Construction,1400,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,21782800.461064495
Ready to move,2724,4313,4 BHK Apartment in Anant Raj Maceo,Sector 91,Not approved by RERA,4,Apartment,11600244.221197426
Under Construction,1650,220000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,363000000.0000311
Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,74911394.63503419
Under Construction,1330,10075,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Approved by RERA,2,Apartment,13535977.109299567
Under Construction,2250,16800,3 BHK Apartment in Puri The Aravallis,Sector 61,Approved by RERA,3,Apartment,37723411.810548395
Ready to move,4500,7777,4 BHK Independent Floor,Sushant Lok Phase I Block C,Not approved by RERA,4,Plot,34788746.92617613
Ready to move,1507,20212,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,30400000.00000086
