Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type
Under Construction,3200,10937,4 BHK Apartment in Orchid Ivy,Sector 51,Approved by RERA,4,Apartment
Ready to move,1572,6500,2 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,2,Apartment
Ready to move,1200,3750,3 BHK Independent Floor,Sector 14,Not approved by RERA,3,Plot
Ready to move,1365,7692,2 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,2,Apartment
Under Construction,2510,20000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Under Construction,1159,19432,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Approved by RERA,3,Apartment
Under Construction,968,34746,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Under Construction,4500,16711,4 BHK Apartment in Tribeca Trump Towers Delhi NCR,Sector 65,Approved by RERA,4,Apartment
Under Construction,1831,12000,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Under Construction,1831,13653,3 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Approved by RERA,3,Apartment
Ready to move,1624,36506,3 BHK Apartment in Mahindra Luminare,Sector 59,Not approved by RERA,3,Apartment
Ready to move,450,14444,3 BHK Independent House,Sector 105,Not approved by RERA,3,Plot
Ready to move,3240,8333,4 BHK Independent Floor,South City I,Not approved by RERA,4,Plot
Ready to move,1351,9252,2 BHK Apartment in Godrej Aria,Sector 79,Not approved by RERA,2,Apartment
Under Construction,3802,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment
Under Construction,1211,7623,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment
Under Construction,1200,16500,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Approved by RERA,2,Apartment
Ready to move,2010,11840,3 BHK Independent Floor,Sushant Lok,Not approved by RERA,3,Plot
Under Construction,5082,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,1192,8000,2 BHK Apartment in M3M Sierra 68,Sector 68,Not approved by RERA,2,Apartment
Ready to move,3625,20965,3 BHK Apartment in Mahindra Luminare Phase 2,Sector 59,Not approved by RERA,3,Apartment
Ready to move,1430,8391,3 BHK Apartment in Mapsko Casa Bella,Sector 82,Not approved by RERA,3,Apartment
Under Construction,2550,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment
Ready to move,3500,10000,4 BHK Apartment in Ashley Floors 6,Sector 28,Not approved by RERA,4,Apartment
Ready to move,2506,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment
Ready to move,3129,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,3100,12903,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Under Construction,1227,17128,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment
Ready to move,1700,8823,3 BHK Independent Floor,Sector 47,Not approved by RERA,3,Plot
Under Construction,1381,11585,2 BHK Apartment in Sobha City,Sector 108,Approved by RERA,2,Apartment
Ready to move,2124,18126,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,3100,12903,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,1440,13000,3 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,3,Apartment
Under Construction,1457,6400,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment
Ready to move,2382,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Ready to move,1751,5139,3 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,3,Apartment
Ready to move,1435,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment
Ready to move,585,4188,1 BHK Independent House,Maruti Kunj,Not approved by RERA,1,Plot
Ready to move,2400,16250,3 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,3,Apartment
Ready to move,2782,28505,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment
Ready to move,1508,14588,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Ready to move,2800,8035,4 BHK Independent Floor,Palam Vihar,Not approved by RERA,4,Plot
Ready to move,1100,5090,3 BHK Independent Floor,Sector 69,Not approved by RERA,3,Plot
Under Construction,634,4100,2 BHK Apartment in Perfect Zara Aavaas,Sector 104,Approved by RERA,2,Apartment
Ready to move,2821,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Under Construction,3121,11000,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,3,Apartment
Ready to move,2370,37977,2 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,2,Apartment
Ready to move,2502,11990,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot
Ready to move,1990,3075,3 BHK Apartment in Raheja Navodaya,Sector 92,Not approved by RERA,3,Apartment
Under Construction,1528,12122,3 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment
Ready to move,1550,12500,2 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,2,Apartment
Under Construction,3000,17333,4 BHK Apartment in Sobha City,Sector 108,Approved by RERA,4,Apartment
Under Construction,1946,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1200,17916,3 BHK Apartment in DLF Princeton Estate,Sector 53,Not approved by RERA,3,Apartment
Ready to move,3850,15000,4 BHK Villa in TATA Primanti UberLuxe,Sector 72,Not approved by RERA,4,Villa
Resale,3240,19444,Residential Plot in south city 1 G Block,South City I,Not approved by RERA,1,Plot
Under Construction,2510,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Ready to move,3434,7483,4 BHK Apartment in SS Almeria,Sector 84,Not approved by RERA,4,Apartment
Under Construction,1664,19600,4 BHK Apartment in Adani Samsara Avasa,Sector 63,Approved by RERA,4,Apartment
Ready to move,2450,14489,3 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,3,Apartment
Under Construction,2503,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1345,7510,2 BHK Apartment in Corona Optus,Sector 37C,Not approved by RERA,2,Apartment
Under Construction,1000,18018,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment
Ready to move,2390,7967,4 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,4,Apartment
Under Construction,1261,20380,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Under Construction,824,8869,2 BHK Apartment in Shapoorji Pallonji Joyville Gurugram II,Sector 102,Approved by RERA,2,Apartment
Ready to move,2122,13500,4 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,4,Apartment
Under Construction,1055,12000,2 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,2,Apartment
Ready to move,1325,8679,2 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,2,Apartment
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment
Ready to move,1432,14000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment
Under Construction,3100,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,1350,17800,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment
Ready to move,3500,9000,5 BHK Independent Floor,Sector 56,Not approved by RERA,5,Plot
Under Construction,1215,6226,2 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Approved by RERA,2,Apartment
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment
Ready to move,2164,15018,4 BHK Independent Floor in Palm Floors Mayfield Garden 1,Sector 51,Not approved by RERA,4,Floor
Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,2103,11887,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment
Under Construction,1235,9479,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment
Ready to move,1855,14000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment
Ready to move,2954,3012,7 BHK Independent House,New Palam Vihar Phase 3,Not approved by RERA,7,Plot
Under Construction,1020,10000,2 BHK Apartment in Signature Global Park 1,Sector 36 Sohna,Approved by RERA,2,Apartment
Ready to move,2300,13913,4 BHK Apartment in Bestech Park View Spa Next,Sector 67,Not approved by RERA,4,Apartment
Ready to move,900,4222,2 BHK Independent Floor,Sector 5,Not approved by RERA,2,Plot
Under Construction,1300,220000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Ready to move,2191,11319,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment
Ready to move,1800,14444,3 BHK Independent Floor in Anant Raj The Estate Floors,Sector 63,Not approved by RERA,3,Floor
Ready to move,4307,14728,4 BHK Apartment in SS The Hibiscus,Sector 50,Not approved by RERA,4,Apartment
Ready to move,5875,26382,5 BHK Apartment in DLF Magnolias,Sector 42,Not approved by RERA,5,Apartment
Under Construction,2892,42734,3 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,3,Apartment
Under Construction,3200,11250,4 BHK Independent Floor in Allure Southcity 2,Sector 49,Not approved by RERA,4,Floor
Under Construction,3100,12903,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,1850,9729,4 BHK Independent Floor in Emaar Emerald Floors,Sector 65,Not approved by RERA,4,Floor
Under Construction,540,3999,2 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,2,Apartment
Ready to move,1439,7296,3 BHK Independent Floor in Signature Global Park III Phase 2,Sector 36 Sohna,Not approved by RERA,3,Floor
Ready to move,2952,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,2945,19219,3 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,3,Apartment
Under Construction,1751,37407,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Ready to move,1745,10888,3 BHK Apartment in ATS Kocoon,Sector 109,Not approved by RERA,3,Apartment
Under Construction,3345,7174,4 BHK Apartment in Vatika Sovereign Park,Sector 99,Approved by RERA,4,Apartment
Under Construction,2080,12019,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Apartment
Ready to move,3716,13589,3 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,3,Apartment
Resale,3240,12777,Residential Plot in south city 1 G Block,South City I,Not approved by RERA,1,Plot
Ready to move,2700,9629,4 BHK Independent Floor,Sector 82,Not approved by RERA,4,Plot
Ready to move,2000,9250,3 BHK Independent Floor in Uppal Southend,Sector 49,Not approved by RERA,3,Floor
Ready to move,2246,37978,2 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,2,Apartment
Under Construction,2290,18559,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment
Under Construction,1200,15000,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Approved by RERA,2,Apartment
Ready to move,3050,15000,3 BHK Apartment in Ganga Nandaka,Sector 84,Not approved by RERA,3,Apartment
Under Construction,968,34746,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Under Construction,1852,6196,3 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Approved by RERA,3,Apartment
Under Construction,1219,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment
Ready to move,1200,3750,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot
Ready to move,3195,9859,4 BHK Independent Floor,Sector 43,Not approved by RERA,4,Plot
Ready to move,2367,12040,3 BHK Independent Floor,Sector 28,Not approved by RERA,3,Plot
Ready to move,7000,8571,4 BHK Independent Floor,DLF Phase 3,Not approved by RERA,4,Plot
Ready to move,4500,8888,4 BHK Independent Floor in Bargainer Ultra Premium Floors,Sector 51,Not approved by RERA,4,Floor
Ready to move,1385,12356,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Not approved by RERA,2,Apartment
Ready to move,2450,12244,4 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,4,Apartment
Ready to move,2240,22000,2 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,2,Apartment
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot
Ready to move,2275,9494,2 BHK Apartment in Experion Windchants Villa,Sector 112,Not approved by RERA,2,Apartment
Ready to move,1692,14007,3 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Not approved by RERA,3,Apartment
Ready to move,1495,29881,2 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,2,Apartment
Under Construction,1250,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment
Resale,1260,9126,Residential Plot in BPTP District 6 Block L,Sector 84,Not approved by RERA,6,Plot
Ready to move,1508,21883,2 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,2,Apartment
Ready to move,8397,16882,5 BHK Villa in Experion The Westerlies,Sector 108,Not approved by RERA,5,Villa
Ready to move,6351,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment
Under Construction,1388,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,3147,19410,4 BHK Villa in Sobha International City,Sector 109,Not approved by RERA,4,Villa
Under Construction,1388,13184,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment
Ready to move,3618,12437,4 BHK Independent Floor,Sushant Lok,Not approved by RERA,4,Plot
Ready to move,1685,9614,3 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,3,Apartment
Ready to move,2700,12037,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1465,27855,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment
Ready to move,2240,22000,2 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,2,Apartment
Ready to move,459,4500,1 BHK Apartment in Pivotal Riddhi Siddhi,Sector 99,Not approved by RERA,1,Apartment
Ready to move,1308,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Ready to move,1512,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Under Construction,1654,21301,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,1600,11250,4 BHK Apartment in CBS Exclusive Floors,Sector 63A,Not approved by RERA,4,Apartment
Ready to move,646,4000,3 BHK Apartment in Signature Global Orchard Avenue,Sector 93,Not approved by RERA,3,Apartment
Under Construction,6353,17299,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment
Ready to move,1457,13500,2 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,2,Apartment
Ready to move,1380,21014,3 BHK Apartment in DLF Princeton Estate,Sector 53,Not approved by RERA,3,Apartment
Under Construction,2300,17500,3 BHK Apartment in Puri The Aravallis,Sector 61,Approved by RERA,3,Apartment
Under Construction,3577,18000,4 BHK Apartment in DLF Privana,Sector 77,Approved by RERA,4,Apartment
Under Construction,2298,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Ready to move,1900,10526,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment
Under Construction,1423,7238,3 BHK Apartment in M3M Soulitude,Sector 89,Approved by RERA,3,Apartment
Ready to move,1590,14150,3 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Not approved by RERA,3,Apartment
Ready to move,1263,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Ready to move,1571,15913,2 BHK Apartment in Mangalam M3M Heights M3M Skycity,Sector 65,Not approved by RERA,2,Apartment
Under Construction,1689,6900,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,3,Apartment
Ready to move,2450,4081,3 BHK Independent Floor,Palam Vihar Pocket H,Not approved by RERA,3,Plot
Under Construction,2077,21932,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment
Under Construction,1518,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,1141,15671,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment
Ready to move,2122,7674,3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Not approved by RERA,3,Apartment
Under Construction,2390,8250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment
Under Construction,1528,12000,3 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment
Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Apartment
Under Construction,1310,14122,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Ready to move,1400,17800,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment
Ready to move,4500,8888,4 BHK Independent Floor,Sector 57,Not approved by RERA,4,Plot
Ready to move,1960,10468,3 BHK Apartment in Mapsko Mount Ville,Sector 79,Not approved by RERA,3,Apartment
Ready to move,1390,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Under Construction,3100,12903,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,2150,9069,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment
Ready to move,1283,9353,2 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,2,Apartment
Under Construction,3482,11000,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,3,Apartment
Ready to move,2905,8777,4 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,4,Apartment
Ready to move,2700,18518,4 BHK Apartment in Investors Guide Floor 2,Sector 26 Gurgaon,Not approved by RERA,4,Apartment
Under Construction,2180,12935,4 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Approved by RERA,4,Apartment
Under Construction,1000,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment
Under Construction,2248,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Under Construction,1677,26237,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Apartment
Ready to move,1264,7674,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Not approved by RERA,2,Apartment
Under Construction,1457,5147,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment
Under Construction,1213,9100,2 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,2,Apartment
Ready to move,1200,4000,3 BHK Independent Floor,Sector 5,Not approved by RERA,3,Plot
Ready to move,900,4222,2 BHK Independent Floor,Sector 5,Not approved by RERA,2,Plot
Under Construction,1976,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,2129,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,6353,17299,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment
Ready to move,3090,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment
Under Construction,2071,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment
Under Construction,1508,12202,2 BHK Apartment in Emaar Digi Homes,Sector 62,Approved by RERA,2,Apartment
Ready to move,2275,5700,4 BHK Apartment in Paras Dews,Sector 106,Not approved by RERA,4,Apartment
Under Construction,2250,17500,3 BHK Apartment in Puri The Aravallis,Sector 61,Approved by RERA,3,Apartment
Under Construction,1975,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Under Construction,2795,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment
Ready to move,1269,10000,2 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,2,Apartment
Ready to move,1550,11935,2 BHK Apartment,Sector 104,Not approved by RERA,2,Plot
Ready to move,3008,5600,4 BHK Apartment in Godrej Icon,Sector 88A,Not approved by RERA,4,Apartment
Ready to move,1914,12016,3 BHK Apartment in M3M Marina,Sector 68,Not approved by RERA,3,Apartment
Under Construction,1335,9044,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment
Under Construction,2390,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment
Ready to move,4615,30816,4 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,4,Apartment
Ready to move,500,8600,2 BHK Apartment in ROF Aalayas,Sector 102,Not approved by RERA,2,Apartment
Under Construction,1702,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,1836,10076,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor
Ready to move,1889,12440,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment
Ready to move,3836,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,4279,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment
Ready to move,3044,12483,4 BHK Apartment in BPTP Park Prime,Sector 66,Not approved by RERA,4,Apartment
Under Construction,1797,19366,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment
Ready to move,2407,12879,4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Not approved by RERA,4,Apartment
Ready to move,1900,15000,3 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,3,Apartment
Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment
Ready to move,1741,7250,2 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,2,Apartment
Under Construction,1600,5937,3 BHK Independent Floor in M3M Low Rise Floors Sector 61,Sector 61,Approved by RERA,3,Floor
Ready to move,2000,7000,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot
Ready to move,3250,13076,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot
Under Construction,4054,18558,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,1950,17800,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1507,12229,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,2250,17500,3 BHK Apartment in Puri The Aravallis,Sector 61,Approved by RERA,3,Apartment
Ready to move,2200,11363,3 BHK Independent Floor in Aadhar WW 72 Malibu Town,Sector 47,Not approved by RERA,3,Floor
Under Construction,1193,8801,2 BHK Apartment in M3M M3M Antalya Hills,Sector 79,Approved by RERA,2,Apartment
Under Construction,4503,42735,5 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,5,Apartment
Ready to move,6200,18564,4 BHK Apartment in Tribeca Trump Towers Delhi NCR,Sector 65,Not approved by RERA,4,Apartment
Ready to move,1283,6408,2 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,2,Apartment
Under Construction,2365,12500,3 BHK Apartment in Antriksh India Central Avenue,Sector 33,Approved by RERA,3,Apartment
Under Construction,1800,11250,3 BHK Apartment in M3M Heights,Sector 65,Approved by RERA,3,Apartment
Under Construction,4140,11000,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,2400,15000,3 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1103,15933,2 BHK Apartment in Smart Smart World Gems,Sector 89,Not approved by RERA,2,Apartment
Ready to move,2882,21500,3 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,3,Apartment
Ready to move,2340,6196,3 BHK Independent Floor,Palam Vihar Block J,Not approved by RERA,3,Plot
Ready to move,3117,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1550,6500,2 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,2,Apartment
Ready to move,1410,8865,2 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,2,Apartment
Under Construction,3890,16500,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,2054,22106,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Ready to move,4000,18000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Ready to move,2423,8171,4 BHK Apartment in DLF New Town Heights 3,Sector 91,Not approved by RERA,4,Apartment
Ready to move,1800,11111,3 BHK Independent Floor,Sector 41,Not approved by RERA,3,Plot
Ready to move,1550,10967,2 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,2,Apartment
Under Construction,220,8954,1 RK Studio Apartment in DLF Magnolias,Sector 42,Approved by RERA,1,Apartment
Under Construction,2283,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment
Ready to move,1600,7812,3 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Floor
Ready to move,1125,7822,2 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,2,Floor
Ready to move,2430,20000,3 BHK Apartment in M3M Latitude,Sector 65,Not approved by RERA,3,Apartment
Ready to move,2000,10500,3 BHK Apartment in Ireo The Corridors,Sector 67,Not approved by RERA,3,Apartment
Ready to move,2000,10250,3 BHK Apartment in SS The Coralwood,Sector 84,Not approved by RERA,3,Apartment
Under Construction,1366,9150,2 BHK Apartment in Godrej Meridien,Sector 106,Approved by RERA,2,Apartment
Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment
Under Construction,1170,5128,2 BHK Apartment in Breez Global Homes,Sohnaa,Approved by RERA,2,Apartment
Ready to move,1353,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
